College,Role,City type,College_T1,College_T2,Role_Manager,City_Metro,previous CTC,previous job changes,Graduation marks,Exp,Actual CTC,Predicted CTC,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Tier 1,Manager,Non-Metro,1,0,1,0,55523,3,66,19,71406.57653107929,86047.24410564211,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,57081,1,84,18,68005.87063056014,65770.30725604697,,,32438.761916047406,4659.731657672053,-832.2746616102389,19359.94390124435,4080.577268215441,0.4515931568668976,-29.041071294755394,-3.6523501604216726,258.94063901244334
Tier 2,Executive,Metro,0,1,0,1,60347,2,52,28,76764.02027697208,69866.41666000392,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,49010,2,81,33,82092.38687992512,66791.18296530849,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,57879,4,74,32,73878.0977294614,70440.11859501715,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,54340,4,73,31,59950.89224500499,63611.83580642211,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,60298,1,42,46,66602.33930682242,70570.45882645581,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,49944,2,56,37,57768.435036989096,64229.769034064724,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,53124,4,40,37,70083.30436240879,74278.76310773833,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,51141,1,47,60,85648.4814686017,70897.35729294656,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,49497,1,50,25,74914.1460293134,69700.47139994358,,,,,,,,,,,
Tier 2,Manager,Non-Metro,0,1,1,0,50197,2,66,62,85219.39143984443,89447.72962385183,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,63234,4,73,23,82910.93833332226,75173.4234358429,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,60059,2,71,56,74350.07820181214,72938.98227347826,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,66487,1,50,27,103595.8285279444,91940.15833093689,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,49292,4,49,19,70729.63281737755,67795.20101861947,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,55400,4,48,52,70051.93691185478,75143.95330824921,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,53089,2,72,23,69403.49340524289,70695.05035949216,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,69345,3,79,56,84710.53254639165,86676.8919177592,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,63508,1,48,30,95879.94275585136,96865.59950433181,,,,,,,,,,,
